Ad report
"February 1, 2026 - May 27, 2026 compared to October 8, 2025 - January 31, 2026"
Ad status,Final URL,Beacon URLs,Headline,Short headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Portrait image ID,Logo ID,Landscape logo ID,Upload asset ID,Business name,Display Network image ID,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,ad.device_preference,ad.display_url,Display URL,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Ad strength,Ad strength improvements,CTR,CTR (Compare to),CTR (Change),CTR (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %),Currency code,Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Conv. value / cost,Conv. value / cost (Compare to),Conv. value / cost (Change),Conv. value / cost (Change %),Conv. value,Conv. value (Compare to),Conv. value (Change),Conv. value (Change %),Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Ad group ID,View-through conv.,View-through conv. (Compare to),View-through conv. (Change),View-through conv. (Change %),Cross-device conv.,Cross-device conv. (Compare to),Cross-device conv. (Change),Cross-device conv. (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %)
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,DogiZone Full-Service Grooming, --,Experienced & Trained Staff, --,Book Your Reservation Today, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"We Treat Your Pet like Family & Always Consider His/Her Personality, Temperament, & Needs.", --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Grooming - Pet,Paused,paused; ad group paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61922929175,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Pet Grooming, --,"Cuddle a Clean, Happy Pet", --,The Best for Your Best Friend, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Grooming - Pet,Paused,paused; ad group paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61922929175,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Pet Grooming, --,DogiZone Full-Service Grooming, --,"Cuddle a Clean, Happy Pet", --,Let Us Pamper Your Pet, --,We Treat Your Pet Like Family, --,Experienced & Trained Staff, --,The Best for Your Best Friend, --,Book Your Reservation Today, --,Leave The Dirty Work To Us, --,Call us for more information, --,"Bathing, Grooming & Spa", --,Try Our DIY Pet Wash, --, --, --, --, --, --, --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --,We Are Ready To Pamper Your Pet With Premium Grooming Packages. Everyone Loves A Clean Dog, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --,"Reduce Shedding With Regular Bathing & Deshedding Treatments. Offering Nail Trimming, Too.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Grooming - Pet,Paused,paused; ad group paused,Responsive search ad,Excellent,, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61922929175,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Rockville Doggie Daycare, --,Get a Free Day of Daycare, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Hours of Exercise & Stimulation for Your Dog in a Safe, Healthy Play Environment", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,free-day, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Doggy/Doggie,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,64503560760,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Doggie Daycare Rockville, --,Hours of Exercise & Play, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Safe, interactive daycare at MoCo's largest indoor/outdoor pet care facility.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,doggie-daycare, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Doggy/Doggie,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,64503560760,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Dog Grooming, --,Let Us Pamper Your Dog, --,We Treat Your Dog Like Family, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --, --,"Your Dog is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,ET | Dog Grooming KW | Target CPA,Paused,paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61613138093,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Rockville's top dog training center. Training programs for lasting results., --, --,Award-winning dog training. Group & private sessions available. Call now!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,ET | Dynamic Training KW | Max Conversions,Eligible,,Expanded dynamic search ad, --, --,5.65%,4.84%,0.82%, +16.88%,14.56%,11.88%,2.68%, +22.58%,USD,54.60,57.48,-2.89,-5.02%,0.02,0.02,0.00, +23.12%,144.00,141.33,2.67, +1.89%,934,"1,314",-380,-28.92%,7425.99,8973.25,-1547.26,-17.24%,"16,523","27,170","-10,647",-39.19%,7.95,6.83,1.12, +16.43%,179678031050,2,0,2, +∞,6.00,4.00,2.00, +50.00%,136.02,156.11,-20.09,-12.87%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Pet Groomer, --,"Cuddle a Clean, Happy Pet", --,The Best for Your Best Friend, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-groomer,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Groomer - Pet,Paused,paused; ad group paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,65919370750,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,DogiZone Full-Service Groomer, --,Experienced & Trained Staff, --,Book Your Reservation Today, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"We Treat Your Pet like Family & Always Consider His/Her Personality, Temperament, & Needs.", --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-groomer,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Groomer - Pet,Paused,paused; ad group paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,65919370750,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Pet Groomer, --,DogiZone Full-Service Groomer, --,"Cuddle a Clean, Happy Pet", --,We Treat Your Pet Like Family, --,Let Us Pamper Your Pet, --,The Best for Your Best Friend, --,Experienced & Trained Staff, --,Book Your Reservation Today, --,Dogizone Dog Grooming, --,Call Us Today, --,Rockville Pet Groomer, --,Pet Loving Groomers, --,Pet Nail Clipping, --, --, --, --, --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --,"From Haircuts To Facials, We Do It All When It Comes To Grooming. Book Your Dog A Spa Day.", --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --,"Let Our Team Treat Your Furry Pet To A New Look. Bathing, Grooming & Spa Services.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-groomer,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Groomer - Pet,Paused,paused; ad group paused,Responsive search ad,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,65919370750,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Rockville Doggie Daycare, --,Get a Free Week of Daycare, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Hours of exercise & stimulation for your dog in a safe, healthy play environment", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-daycare, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Dog Daycare,Not eligible,ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,63357949658,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-training/puppy-training-paid/, --, --, --, --, --, --, --, --, --,Certified Puppy Trainers, --,Fast Results with Top Trainers, --,"Pro Dog Training, Fast Results", --,Top Certified Dog Trainers, --,Rockville Puppy Training, --,Free Dog Training Evaluation, --,Award-Winning Puppy Training, --,Personalized Dog Training Plan, --,We Can Train Any Dog, --,Dog Training Near Me, --,Proven Methods—Vet-Recommended, --,Guaranteed Results, --,DogiZone®, --, --, --, --, --, --,"Highly trained & certified trainers, fast training results, & the area's premier facility", --,Train your puppy with the best in the business with guaranteed results. Call now!, --,Training methods tested & proven by certified professional dog trainers., --,Get your free dog training evaluation & individualized training plan. Guaranteed results, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,play-stay-train,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Puppy Training,Not eligible,ad group paused,Responsive search ad,Excellent,, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,176958429287,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-training-paid/, --, --, --, --, --, --, --, --, --,Expert Certified Dog Trainers, --,Fast Results with Top Trainers, --,"Pro Dog Training, Fast Results", --,Professional Dog Training, --,Rockville Dog Training, --,Free Dog Training Evaluation, --,Award-Winning Dog Training, --,Personalized Dog Training Plan, --,We Can Train Any Dog, --,Dog Training Near Me, --,Proven Methods—Vet-Recommended, --,Guaranteed Results, --,DogiZone®, --, --, --, --, --, --,"Highly trained & certified trainers, fast training results, & the area's premier facility", --,Train your dog with the best in the business with guaranteed results. Call now!, --,Training methods tested & proven by certified professional dog trainers., --,Get your free dog training evaluation & individualized training plan. Guaranteed results, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,play-stay-train,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Professional Dog Training,Not eligible,ad group paused,Responsive search ad,Good,Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,176958429247,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-training-paid/, --, --, --, --, --, --, --, --, --,Expert Certified Dog Trainers, --,Fast Results with Top Trainers, --,"Pro Dog Training, Fast Results", --,Professional Dog Training, --,Rockville Dog Training, --,Free Dog Training Evaluation, --,Award-Winning Dog Training, --,Personalized Dog Training Plan, --,We Can Train Any Dog, --,Dog Training Near Me, --,Proven Methods—Vet-Recommended, --,Guaranteed Results, --,DogiZone®, --, --, --, --, --, --,"Highly trained & certified trainers, fast training results, & the area's premier facility", --,Train your dog with the best in the business with guaranteed results. Call now!, --,Training methods tested & proven by certified professional dog trainers., --,Get your free dog training evaluation & individualized training plan. Guaranteed results, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,play-stay-train,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Affordable Dog Training,Not eligible,ad group paused,Responsive search ad,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,174550816526,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Pet Groomer, --,Let Us Pamper Your Pet, --,We Treat Your Pet Like Family, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-groomer,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Groomer - Pet,Paused,paused; ad group paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,65919370750,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Dog Sitting Rockville, --,Hours of Exercise & Play, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Safe, interactive daycare & sitting. MoCo's largest indoor/outdoor pet facility.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-sitting, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Sitting - Dog,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,67579354531,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-training/dog-training-camps-paid/, --, --, --, --, --, --, --, --, --,Expert Dog Board & Training, --,Fast Results with Top Trainers, --,"Pro Dog Training, Fast Results", --,Premier Dog Training Facility, --,Rockville Dog Training, --,Free Dog Training Evaluation, --,Award-Winning Dog Training, --,Personalized Dog Training Plan, --,Rockville Dog & Puppy Training, --,Dog Training Near Me, --,We Can Train Any Dog, --,Proven Methods—Vet-Recommended, --,Guaranteed Results, --,DogiZone®, --, --, --, --,"Highly trained & certified trainers, fast training results, & the area's premier facility", --,Train your dog with the best in the business with guaranteed results. Call now!, --,Dog boarding and training methods tested & proven by certified professional dog trainers., --,Get your free dog training evaluation & individualized training plan. Guaranteed results, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,play-stay-train,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Board And Train,Not eligible,ad group paused,Responsive search ad,Excellent,, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,176958429327,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Rockville Dog Sitting, --,Get a Free Day of Daycare, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Hours of Exercise & Stimulation for Your Dog in a Safe, Healthy Play Environment", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,free-day, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Sitting - Dog,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,67579354531,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-training/group-dog-training-paid/, --, --, --, --, --, --, --, --, --,Rockville Dog Training Classes, --,Expert Dog Training Classes MD, --,#1 MD Dog Training Classes, --,Group Dog Classes, --,Small Group Dog Training Class, --,Top-Rated MD Dog Training, --,Local Dog Training Classes, --,Dog Classes - Free Evaluation, --,We Can Train Any Dog, --,Dog Training Near Me, --,Proven Methods—Vet-Recommended, --,Dog Classes in Rockville MD, --,DogiZone®, --, --, --, --, --, --,"Join 30,000+ happy dogs. Classes 7 days/week - morning, midday & evening times available.", --,"Family-friendly training for all levels. Puppies to advanced, on & off-leash obedience.", --,Small classes ensure individual attention. Get started with a free evaluation today!, --,Expert trainers teach manners & obedience in small groups. Book your free evaluation now!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,play-stay-train,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Training Classes,Not eligible,ad group paused,Responsive search ad,Good,Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,176958429527,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Dog Sitting in Rockville, --,Safe & Healthy Daycare, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Hours of exercise & stimulation. Supervised play groups. Professional staff., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-sitting, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Sitting - Dog,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,67579354531,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
